# RA Dec
7.541917800000000227e+00 -9.583011999999998531e-01
1.961097339999999889e+01 4.645200000000000023e-02
3.264012146000000030e+02 -5.955829999999999735e-01
1.294296840000000159e+01 -2.576200000000000018e-02
2.224528310000000175e+01 -7.148799999999999599e-02
1.326383019999999924e+01 3.575369999999999937e-01
4.618812999999999391e+00 3.268500000000000572e-02
1.282907010000000092e+01 1.093272199999999916e+00
3.190994873000000212e+02 -7.587589999999999613e-01
3.054503060000000403e+01 -1.257052899999999918e+00
3.580100098000000344e+02 -1.755220000000000113e-01
1.436046980000000062e+01 -8.203440000000000731e-01
5.613831709999999475e+01 -7.364848000000000505e-01
1.924562069999999991e+01 4.498689999999999634e-01
1.894824030000000192e+01 8.972459999999998770e-01
2.126704980000000234e+01 -8.909928999999999766e-01
3.402836609999999951e+01 6.148251999999999606e-01
3.281650084999999990e+02 -6.144330000000000069e-01
5.837130000000000374e-01 -8.730269999999999975e-01
3.583967896000000337e+02 6.386990000000000167e-01
2.113647459999999967e+01 3.843820000000000014e-01
3.477946167000000059e+02 -2.085789999999999866e-01
1.499853900000000095e+01 -1.147559800000000019e+00
3.249909668000000238e+02 -4.404210000000000069e-01
1.866925050000000041e+01 -4.825409999999999977e-01
3.572766879999999645e+01 -6.796769000000000283e-01
3.458988341999999534e+02 1.208368199999999781e+00
2.250732800000000111e+01 1.051539999999999919e+00
3.578610840000000053e+02 -4.874919999999999809e-01
3.319376831000000152e+02 4.789470000000000116e-01
4.275691599999999681e+01 -7.114279999999999493e-01
3.312024536000000126e+02 5.835291999999999701e-01
3.086066588999999567e+02 1.098650000000000043e-01
2.224528310000000175e+01 -7.148799999999999599e-02
5.398492809999999764e+01 -4.070750000000000202e-01
5.316456600000000066e+01 8.815520000000000023e-01
3.330307921999999508e+02 1.040275899999999920e+00
3.452403563999999960e+02 -3.507179999999999742e-01
3.370361022999999818e+02 1.060340000000000060e+00
1.130842969999999958e+01 1.068394199999999961e+00
3.456832886000000258e+02 1.045483799999999963e+00
2.841783910000000191e+01 1.170955199999999863e+00
3.127454528999999752e+02 1.021665899999999905e+00
3.165199890000000096e+02 9.820830000000000393e-01
1.707061000000000206e+01 5.674350000000000227e-01
4.113707349999999963e+01 7.721329000000000109e-01
3.116344910000000255e+02 1.019546999999999981e+00
3.509808350000000132e+02 5.972680000000000211e-01
6.353900000000000103e-01 1.098088999999999871e+00
3.449569396999999640e+02 -2.398969999999999714e-01
2.303035930000000064e+01 9.631142000000000314e-01
3.097454528999999752e+02 -6.824289999999999523e-01
3.163904418999999848e+02 -1.075462899999999999e+00
2.469761090000000081e+01 4.794479999999999298e-01
4.181288529999999781e+01 9.799909999999999455e-01
7.106652300000000366e+00 5.833880000000000177e-01
5.260101700000000591e+01 6.996909999999999519e-01
5.613997270000000839e+01 9.234412000000000731e-01
3.197351073999999471e+02 -1.155877899999999903e+00
3.559418944999999894e+02 -2.643030000000000102e-01
5.365301130000000285e+01 9.815580000000000416e-01
1.866925050000000041e+01 -4.825409999999999977e-01
5.887424000000000213e+00 8.046439999999999149e-01
2.607956900000000022e+00 9.132379999999998832e-01
2.919087980000000115e+01 -6.487500000000000211e-02
1.845024679999999861e+01 7.579939999999999456e-01
3.890701679999999385e+01 9.514709999999999557e-01
3.057637980000000155e+01 -1.263781999999999961e+00
3.350968100000000227e+00 -1.223447999999999869e+00
2.127414699999999925e+01 7.703750000000000320e-01
3.138473816000000056e+02 4.625100000000000322e-01
3.583967896000000337e+02 6.386990000000000167e-01
3.157580871999999772e+02 -4.456600000000000145e-02
4.528684099999999546e+00 -7.597559999999999869e-01
2.607956900000000022e+00 9.132379999999998832e-01
3.281650084999999990e+02 -6.144330000000000069e-01
3.545116577000000007e+02 7.823550000000000226e-01
3.260750122000000033e+02 -1.239522000000000013e+00
3.148735656999999719e+02 5.764999999999999986e-02
1.937137600000000148e+01 3.635019999999999918e-01
3.224289551000000529e+02 7.050960000000000560e-01
3.453158874999999739e+02 -8.346180000000000820e-01
3.526054077000000007e+02 1.204860899999999901e+00
5.398123170000000215e+01 2.657530000000000170e-01
5.505138020000000409e+01 -9.147009999999999863e-01
3.328267821999999683e+02 -9.245799999999999852e-02
2.113647459999999967e+01 3.843820000000000014e-01
3.287758178999999359e+02 2.839829999999999854e-01
3.553545531999999412e+02 2.638460000000000250e-01
4.824069599999999980e+01 3.839639999999999720e-01
3.111939050000000151e+01 4.867839999999999945e-01
3.308958435000000122e+02 -2.348250000000000060e-01
8.115222900000000905e+00 9.043979999999999242e-01
3.131913146999999640e+02 4.592149999999999843e-01
4.140695189999999570e+01 2.430080000000000018e-01
3.187968140000000403e+02 9.368929999999999758e-01
3.255727539000000093e+02 -5.592570000000000041e-01
3.108572388000000046e+02 4.303890000000000216e-01
3.143627013999999917e+02 -5.389477999999999769e-01
2.000276100000000223e+00 -5.943999999999999631e-03
3.144253845000000069e+02 1.222555899999999918e+00
4.110935590000000417e+01 6.123930000000000762e-01
1.095812989999999942e+01 -9.632950000000001234e-01
1.721805000000000163e+01 2.261159999999999837e-01
3.245508422999999993e+02 -2.027889999999999970e-01
2.411873049999999807e+01 -6.717579999999999663e-01
3.173522948999999471e+02 -8.628780000000000339e-01
3.971112440000000277e+01 -1.181021199999999993e+00
7.966086900000000526e+00 -9.764222000000000179e-01
3.591073913999999832e+02 7.724439999999999085e-01
5.479370120000000099e+01 4.879590000000000316e-01
3.107476196000000641e+02 5.254850000000000909e-01
3.523043823000000430e+02 -1.850880000000000025e-01
3.106906127999999967e+02 6.610399999999999610e-02
3.399062194999999633e+02 7.638270000000000337e-01
5.624238589999999505e+01 -8.049870000000000081e-01
4.994526670000000479e+01 1.005209999999999937e+00
3.183333435000000122e+02 -9.974750000000000005e-01
8.964701699999999107e+00 8.871809999999999974e-01
4.686334610000000112e+01 -3.873519999999999741e-01
3.314047851999999921e+02 9.485523000000001259e-01
1.645040700000000200e+01 6.257470000000000532e-01
3.289839171999999508e+02 -1.217571999999999877e+00
3.530578308000000334e+02 -9.089719999999998912e-01
1.375158019999999937e+01 9.437402000000000291e-01
3.471333922999999686e+02 4.416590000000000238e-01
3.142222595000000069e+02 8.063850000000000184e-01
3.476965026999999964e+02 -3.790120000000000156e-01
4.209904479999999438e+01 -1.000701000000000063e+00
3.141678466999999841e+02 -6.068540000000000045e-01
3.162854000000000099e+01 1.036648000000000014e+00
3.489385599999999954e+01 -5.294099999999999501e-02
4.994526670000000479e+01 1.005209999999999937e+00
2.624239349999999860e+01 6.938640000000000363e-01
3.287030944999999633e+02 -1.111527199999999826e+00
3.112554931999999894e+02 -1.213049999999999962e+00
5.479370120000000099e+01 4.879590000000000316e-01
3.086531676999999831e+02 -3.730320000000000302e-01
3.118146057000000155e+02 4.369339999999999891e-01
3.147759093999999322e+02 -2.368260000000000087e-01
4.184554099999999721e+00 9.420601999999999032e-01
3.301044921999999815e+02 -6.203239999999999865e-01
1.181884190000000068e+01 3.879119999999999790e-01
3.343167113999999742e+02 -2.030710000000000015e-01
2.015283970000000124e+01 7.560700000000000753e-02
3.134838256999999544e+02 -9.386309999999999931e-01
3.663202290000000261e+01 -6.151170000000000249e-01
3.128927916999999752e+02 1.234653800000000023e+00
3.497842102000000182e+02 -1.263019000000000114e+00
3.596057128999999577e+02 -5.196129999999999916e-01
1.400259880000000123e+01 8.987459999999999338e-01
3.154689636000000519e+02 9.860339999999999661e-01
3.538533779999999496e+01 9.908580000000000165e-01
2.051942060000000012e+01 6.591529999999999889e-01
3.402554931999999894e+02 6.258850000000000247e-01
4.808701710000000418e+01 -6.738739999999999730e-01
3.227856140000000096e+02 -3.635900000000000243e-01
3.982009889999999785e+01 1.190594199999999825e+00
5.479370120000000099e+01 4.879590000000000316e-01
4.536135099999999909e+01 9.331379999999999120e-01
5.398492809999999764e+01 -4.070750000000000202e-01
3.430576710000000418e+01 -7.574790000000000134e-01
3.090054931999999894e+02 7.050930000000000808e-01
3.190063170999999898e+02 -1.655869999999999842e-01
3.537691040000000271e+02 2.973770000000000024e-01
2.576277000000000150e+00 -1.167877899999999913e+00
3.659340000000000370e-01 8.382719999999999061e-01
3.119858398000000079e+02 -7.544859999999999900e-01
5.459373999999999505e+00 7.795779999999999932e-01
2.127414699999999925e+01 7.703750000000000320e-01
3.497552185000000122e+02 -8.304650000000000087e-01
3.146766663000000221e+02 9.747069999999999901e-01
3.369615549999999615e+01 -8.267878000000000727e-01
3.377577819999999633e+02 6.531521999999999606e-01
3.456832886000000258e+02 1.045483799999999963e+00
5.384716029999999876e+01 -3.677630000000000066e-01
4.496713640000000112e+01 -4.019360000000000155e-01
8.480502099999998933e+00 -2.610419999999999963e-01
1.739400669999999849e+01 8.056989999999999430e-01
3.098731688999999960e+02 9.626879999999998772e-01
3.119768981999999937e+02 -4.034849999999999826e-01
3.143891601999999921e+02 7.759788000000000796e-01
3.088748473999999646e+02 1.037309999999999954e+00
3.452403563999999960e+02 -3.507179999999999742e-01
7.716983800000000393e+00 -6.375569999999999293e-01
3.158916931000000545e+02 -8.059020000000000072e-01
3.414147034000000076e+02 -3.780979999999999897e-01
3.279849547999999686e+02 9.766909999999999759e-01
1.089014149999999859e+01 -7.388239999999999252e-01
3.253306884999999511e+02 3.445349999999999802e-01
3.108030396000000337e+02 -2.537710000000000243e-01
2.174212070000000097e+01 -2.006840000000000013e-01
3.565883483999999726e+02 -5.498022000000000187e-01
3.092222595000000069e+02 5.365119999999999889e-01
3.264012146000000030e+02 -5.955829999999999735e-01
3.090492553999999359e+02 5.242580000000000018e-01
3.327661132999999722e+02 7.898369000000000639e-01
3.523043823000000430e+02 -1.850880000000000025e-01
3.456832886000000258e+02 1.045483799999999963e+00
3.250992126000000439e+02 -3.160429999999999628e-01
3.191286011000000258e+02 1.137024000000000035e+00
2.583713910000000169e+01 -4.332119999999999860e-01
3.571207886000000258e+02 1.644339999999999968e-01
3.054503060000000403e+01 -1.257052899999999918e+00
3.111506957999999941e+02 1.091554000000000135e+00
3.125048069999999711e+01 6.120229999999999837e-01
3.459513855000000149e+02 -3.127780000000000005e-01
2.000276100000000223e+00 -5.943999999999999631e-03
5.774066160000000281e+01 3.720719999999999583e-01
1.612442019999999943e+01 -6.740819999999999590e-01
3.371734923999999864e+02 3.716150000000000286e-01
2.576277000000000150e+00 -1.167877899999999913e+00
2.122561069999999717e+01 9.932200000000001028e-01
2.987318000000000140e+00 -1.178470000000000073e-01
3.565368958000000248e+02 1.065845999999999849e+00
3.351433104999999841e+02 2.898969999999999603e-01
3.253969420999999898e+02 1.079220199999999963e+00
3.418906859999999597e+02 -5.713099999999999429e-02
2.379125019999999679e+01 1.569019999999999859e-01
3.146217041000000449e+02 -5.078622000000000414e-01
2.607956900000000022e+00 9.132379999999998832e-01
3.175834351000000311e+02 -1.222252000000000116e+00
5.325629039999999748e+01 -1.178352199999999961e+00
5.844619799999999366e+00 -8.081359999999999655e-01
3.565883483999999726e+02 -5.498022000000000187e-01
3.303930358999999726e+02 -9.552940000000000875e-01
3.054503060000000403e+01 -1.257052899999999918e+00
4.994526670000000479e+01 1.005209999999999937e+00
