# RA Dec
3.591073913999999832e+02 7.724439999999999085e-01
3.086531676999999831e+02 -3.730320000000000302e-01
3.464664001000000439e+02 -4.544850000000000279e-01
3.302990111999999954e+02 5.741069999999999229e-01
4.458843610000000268e+01 -1.033744199999999891e+00
1.595412829999999893e+01 2.926799999999999957e-01
3.253458861999999954e+02 -2.280189999999999995e-01
3.598612061000000040e+02 1.144108899999999984e+00
3.110192566000000056e+02 5.925479999999999636e-01
5.977073670000000760e+01 8.090359999999999774e-01
1.379226019999999764e+01 2.053199999999999817e-02
3.244507446000000641e+02 -4.898331000000000213e-01
3.450506896999999640e+02 1.116857999999999906e+00
4.824069599999999980e+01 3.839639999999999720e-01
3.115342102000000182e+02 -1.371600000000000041e-01
4.484154199999999868e+00 1.077070999999999890e+00
3.572766879999999645e+01 -6.796769000000000283e-01
3.146593018000000370e+02 -8.724790000000001156e-01
3.285394896999999901e+02 -8.136369999999999436e-01
3.864773939999999897e+01 4.925630000000000286e-01
8.409680400000000944e+00 -8.176100000000000034e-02
3.377577819999999633e+02 6.531521999999999606e-01
3.591073913999999832e+02 7.724439999999999085e-01
3.283877868999999805e+02 3.621599999999999819e-01
3.089908446999999683e+02 5.445512000000000130e-01
1.822801969999999727e+01 -4.248799999999999799e-02
3.596057128999999577e+02 -5.196129999999999916e-01
3.562410583000000202e+02 4.629640000000000422e-01
2.841503910000000133e+01 -1.847229999999999983e-01
5.017229460000000074e+01 9.878641999999999701e-01
2.185199999999999920e-01 -4.362869999999999804e-01
5.089918519999999802e+01 -8.759378000000000997e-01
3.279086914000000093e+02 5.395419999999999661e-01
