# skymap_id,tract,patch,mjd,taiobs
98060606,9806,"6,6",57340.6076946608,2015-11-14 14:35:04.819000
98060407,9806,"4,7",57454.3968372149,2016-03-07 09:31:26.735000
98060207,9806,"2,7",57454.3441314571,2016-03-07 08:15:32.958000
98060202,9806,"2,2",57340.5949091408,2015-11-14 14:16:40.150000
98060300,9806,"3,0",57340.5920650032,2015-11-14 14:12:34.416000
98060306,9806,"3,6",57454.4141179393,2016-03-07 09:56:19.790000
98060405,9806,"4,5",57340.6098160166,2015-11-14 14:38:08.104000
98060703,9806,"7,3",57454.3806840479,2016-03-07 09:08:11.102000
98050506,9805,"5,6",57340.6249900879,2015-11-14 14:59:59.144000
98060202,9806,"2,2",57340.6098160166,2015-11-14 14:38:08.104000
98060300,9806,"3,0",57340.6055880273,2015-11-14 14:32:02.806000
98050702,9805,"7,2",57340.5892127454,2015-11-14 14:08:27.981000
98060502,9806,"5,2",57454.3827936989,2016-03-07 09:11:13.376000
98060503,9806,"5,3",57340.6034341743,2015-11-14 14:28:56.713000
98070004,9807,"0,4",57482.2566471784,2016-04-04 06:09:34.316000
98060606,9806,"6,6",57454.3412474766,2016-03-07 08:11:23.782000
98060704,9806,"7,4",57340.5920650032,2015-11-14 14:12:34.416000
98060300,9806,"3,0",57454.3827936989,2016-03-07 09:11:13.376000
98070207,9807,"2,7",57340.611929765,2015-11-14 14:41:10.732000
98060504,9806,"5,4",57340.5920650032,2015-11-14 14:12:34.416000
98060407,9806,"4,7",57340.6098160166,2015-11-14 14:38:08.104000
98050501,9805,"5,1",57106.3970345664,2015-03-25 09:31:43.787000
98060207,9806,"2,7",57454.3968372149,2016-03-07 09:31:26.735000
98060207,9806,"2,7",57454.4162668334,2016-03-07 09:59:25.454000
98060502,9806,"5,2",57340.6419334873,2015-11-14 15:24:23.053000
98060605,9806,"6,5",57454.3412474766,2016-03-07 08:11:23.782000
98060702,9806,"7,2",57454.3806840479,2016-03-07 09:08:11.102000
98070004,9807,"0,4",57807.28731152,2017-02-23 06:53:43.715000
98060601,9806,"6,1",57340.6034341743,2015-11-14 14:28:56.713000
98050506,9805,"5,6",57454.3947191574,2016-03-07 09:28:23.735000
98050502,9805,"5,2",57340.6249900879,2015-11-14 14:59:59.144000
